algorithm,n,structure,element_type,runs,mean_ms,min_ms,max_ms
selection_sort,20,flat,int,500,0.0193,0.0115,0.1315
shell_sort,20,flat,int,500,0.0095,0.0089,0.0327
tim_sort,20,flat,int,500,0.0009,0.0006,0.016
bubble_sort,30,random,int,500,0.0554,0.0374,0.2899
bucket_sort,30,random,int,500,0.0239,0.0169,0.1288
comb_sort,30,random,int,500,0.0273,0.0183,0.2271
counting_sort,30,random,int,500,0.0844,0.0496,0.554
heap_sort,30,random,int,500,0.0721,0.0346,0.2749
insertion_sort,30,random,int,500,0.0256,0.0213,0.0944
intro_sort,30,random,int,500,0.0314,0.0154,0.1298
merge_sort,30,random,int,500,0.057,0.0376,0.2348
merge_sort_iterative,30,random,int,500,0.0477,0.0388,0.1761
patience_sort,30,random,int,500,0.0289,0.0208,0.0972
quick_sort,30,random,int,500,0.0268,0.0165,0.1472
radix_sort,30,random,int,500,0.0417,0.0305,0.1819
selection_sort,30,random,int,500,0.0639,0.023,0.5341
shell_sort,30,random,int,500,0.0503,0.0157,1.0223
tim_sort,30,random,int,500,0.0023,0.001,0.2262
bubble_sort,30,sorted,int,500,0.0029,0.0022,0.0222
bucket_sort,30,sorted,int,500,0.0278,0.0176,0.2631
comb_sort,30,sorted,int,500,0.0235,0.0122,0.0971
counting_sort,30,sorted,int,500,0.0944,0.0489,0.3405
heap_sort,30,sorted,int,500,0.0564,0.035,3.0815
insertion_sort,30,sorted,int,500,0.0058,0.0031,0.0546
intro_sort,30,sorted,int,500,0.0072,0.0061,0.0444
merge_sort,30,sorted,int,500,0.0459,0.0336,0.155
merge_sort_iterative,30,sorted,int,500,0.0516,0.0349,0.3202
patience_sort,30,sorted,int,500,0.0355,0.0264,0.2052
quick_sort,30,sorted,int,500,0.021,0.0146,0.1289
radix_sort,30,sorted,int,500,0.0546,0.0331,0.3646
selection_sort,30,sorted,int,500,0.0373,0.0235,0.1219
shell_sort,30,sorted,int,500,0.0206,0.0088,0.0777
tim_sort,30,sorted,int,500,0.0007,0.0004,0.0039
bubble_sort,30,reverse,int,500,0.0948,0.0508,0.2563
bucket_sort,30,reverse,int,500,0.0442,0.0396,0.0612
comb_sort,30,reverse,int,500,0.0191,0.0171,0.079
counting_sort,30,reverse,int,500,0.1061,0.047,0.2156
heap_sort,30,reverse,int,500,0.0392,0.0291,0.1537
insertion_sort,30,reverse,int,500,0.0428,0.0359,0.1733
intro_sort,30,reverse,int,500,0.0245,0.0189,0.0831
merge_sort,30,reverse,int,500,0.0441,0.0351,0.1539
merge_sort_iterative,30,reverse,int,500,0.0425,0.0346,0.213
patience_sort,30,reverse,int,500,0.029,0.0172,0.2432
quick_sort,30,reverse,int,500,0.0343,0.0209,0.4673
radix_sort,30,reverse,int,500,0.0456,0.0343,0.1354
selection_sort,30,reverse,int,500,0.0315,0.0205,0.285
shell_sort,30,reverse,int,500,0.0187,0.0114,0.1062
tim_sort,30,reverse,int,500,0.0005,0.0004,0.0035
bubble_sort,30,almost_sorted,int,500,0.031,0.0192,0.147
bucket_sort,30,almost_sorted,int,500,0.0157,0.0143,0.0462
comb_sort,30,almost_sorted,int,500,0.0239,0.0128,0.1876
counting_sort,30,almost_sorted,int,500,0.0537,0.0407,0.1587
heap_sort,30,almost_sorted,int,500,0.0434,0.0329,0.1614
insertion_sort,30,almost_sorted,int,500,0.0065,0.0056,0.0205
intro_sort,30,almost_sorted,int,500,0.0095,0.0059,0.0749
merge_sort,30,almost_sorted,int,500,0.048,0.0342,0.1541
merge_sort_iterative,30,almost_sorted,int,500,0.0475,0.0372,0.2466
patience_sort,30,almost_sorted,int,500,0.0462,0.0265,1.1056
quick_sort,30,almost_sorted,int,500,0.0203,0.0136,0.1054
radix_sort,30,almost_sorted,int,500,0.0412,0.0289,0.1745
selection_sort,30,almost_sorted,int,500,0.0333,0.0212,0.2264
shell_sort,30,almost_sorted,int,500,0.022,0.0105,0.2522
tim_sort,30,almost_sorted,int,500,0.0014,0.0011,0.0049
bubble_sort,30,half_sorted,int,500,0.043,0.0316,0.1878
bucket_sort,30,half_sorted,int,500,0.0228,0.0148,0.0908
comb_sort,30,half_sorted,int,500,0.0205,0.0164,0.0813
counting_sort,30,half_sorted,int,500,0.0731,0.0471,0.2748
heap_sort,30,half_sorted,int,500,0.0507,0.0325,0.1641
insertion_sort,30,half_sorted,int,500,0.0188,0.0139,0.4736
intro_sort,30,half_sorted,int,500,0.0255,0.0118,0.0852
merge_sort,30,half_sorted,int,500,0.0512,0.037,0.2087
merge_sort_iterative,30,half_sorted,int,500,0.059,0.0377,0.3163
patience_sort,30,half_sorted,int,500,0.0361,0.0267,0.159
quick_sort,30,half_sorted,int,500,0.0249,0.0163,0.1404
radix_sort,30,half_sorted,int,500,0.0489,0.0302,0.2038
selection_sort,30,half_sorted,int,500,0.0473,0.0255,0.2824
shell_sort,30,half_sorted,int,500,0.0174,0.0143,0.0605
tim_sort,30,half_sorted,int,500,0.0012,0.0007,0.0182
bubble_sort,30,flat,int,500,0.0647,0.0343,0.1893
bucket_sort,30,flat,int,500,0.019,0.014,0.0796
comb_sort,30,flat,int,500,0.0211,0.0143,0.0916
counting_sort,30,flat,int,500,0.0088,0.0042,0.048
heap_sort,30,flat,int,500,0.0371,0.0283,0.2053
insertion_sort,30,flat,int,500,0.0182,0.0158,0.1256
intro_sort,30,flat,int,500,0.0127,0.0114,0.0537
merge_sort,30,flat,int,500,0.0497,0.041,0.1593
merge_sort_iterative,30,flat,int,500,0.0626,0.0474,0.2373
patience_sort,30,flat,int,500,0.0386,0.0282,0.1479
quick_sort,30,flat,int,500,0.0473,0.0209,0.2123
radix_sort,30,flat,int,500,0.0212,0.0091,0.1555
selection_sort,30,flat,int,500,0.0293,0.0218,0.18
shell_sort,30,flat,int,500,0.0181,0.0124,0.0603
tim_sort,30,flat,int,500,0.0015,0.0009,0.0357
bubble_sort,50,random,int,500,0.1178,0.1048,0.546
bucket_sort,50,random,int,500,0.0329,0.026,0.1434
comb_sort,50,random,int,500,0.041,0.0343,0.1643
counting_sort,50,random,int,500,0.1226,0.0745,0.3568
heap_sort,50,random,int,500,0.0707,0.0495,0.2608
insertion_sort,50,random,int,500,0.0608,0.0475,0.3633
intro_sort,50,random,int,500,0.0381,0.0296,0.1768
merge_sort,50,random,int,500,0.1109,0.0859,0.5571
merge_sort_iterative,50,random,int,500,0.0988,0.0722,0.4159
patience_sort,50,random,int,500,0.059,0.0445,0.2429
quick_sort,50,random,int,500,0.051,0.0359,0.2152
radix_sort,50,random,int,500,0.0983,0.0526,0.4021
selection_sort,50,random,int,500,0.0854,0.0687,0.3167
shell_sort,50,random,int,500,0.0594,0.0342,0.452
tim_sort,50,random,int,500,0.0021,0.0015,0.0077
bubble_sort,50,sorted,int,500,0.01,0.009,0.0319
bucket_sort,50,sorted,int,500,0.0549,0.0239,0.4056
comb_sort,50,sorted,int,500,0.0573,0.0225,0.2245
counting_sort,50,sorted,int,500,0.1714,0.0942,3.5219
heap_sort,50,sorted,int,500,0.1286,0.0794,0.5071
insertion_sort,50,sorted,int,500,0.0143,0.0055,0.6644
intro_sort,50,sorted,int,500,0.0244,0.0138,0.069
merge_sort,50,sorted,int,500,0.1034,0.0613,0.4186
merge_sort_iterative,50,sorted,int,500,0.1187,0.0646,0.3014
patience_sort,50,sorted,int,500,0.0522,0.0471,0.1633
quick_sort,50,sorted,int,500,0.033,0.0247,0.1543
radix_sort,50,sorted,int,500,0.0545,0.0442,0.1721
selection_sort,50,sorted,int,500,0.0616,0.0524,0.2857
shell_sort,50,sorted,int,500,0.0321,0.0168,0.1293
tim_sort,50,sorted,int,500,0.0009,0.0005,0.0162
bubble_sort,50,reverse,int,500,0.1919,0.1291,1.1848
