algorithm,n,structure,element_type,runs,mean_ms,min_ms,max_ms
bucket_sort,1000,flat,int,20,0.7588,0.5161,1.7491
comb_sort,1000,flat,int,20,2.2302,1.3696,6.3936
counting_sort,1000,flat,int,20,0.0823,0.0806,0.0945
heap_sort,1000,flat,int,20,2.4961,2.1479,4.2252
insertion_sort,1000,flat,int,20,22.3271,16.9128,35.4319
intro_sort,1000,flat,int,20,2.0326,1.681,3.0577
merge_sort,1000,flat,int,20,2.488,1.9249,4.2298
merge_sort_iterative,1000,flat,int,20,2.6205,2.0862,3.9308
patience_sort,1000,flat,int,20,2.136,1.5787,4.4192
quick_sort,1000,flat,int,20,12.045,9.6398,24.2697
radix_sort,1000,flat,int,20,0.4354,0.2959,1.1861
selection_sort,1000,flat,int,20,27.6309,22.584,34.6481
shell_sort,1000,flat,int,20,1.206,0.9195,3.4148
tim_sort,1000,flat,int,20,0.0871,0.0551,0.1797
bubble_sort,5000,random,int,5,1733.558,1673.1825,1911.4589
bucket_sort,5000,random,int,5,3.0195,2.5727,4.2055
comb_sort,5000,random,int,5,21.1479,16.6263,25.9716
counting_sort,5000,random,int,5,10.7292,8.903,12.8268
heap_sort,5000,random,int,5,17.1425,15.065,20.8779
insertion_sort,5000,random,int,5,770.1525,728.59,847.6437
intro_sort,5000,random,int,5,6.5619,5.7339,7.1983
merge_sort,5000,random,int,5,18.3101,15.6829,26.561
merge_sort_iterative,5000,random,int,5,18.0101,16.3232,22.5402
patience_sort,5000,random,int,5,10.1831,7.2385,13.0244
quick_sort,5000,random,int,5,9.6749,6.726,18.2091
radix_sort,5000,random,int,5,12.5777,8.4916,16.7928
selection_sort,5000,random,int,5,824.2155,686.9995,1165.2452
shell_sort,5000,random,int,5,22.3971,14.4338,29.1424
tim_sort,5000,random,int,5,0.7178,0.7001,0.7703
bubble_sort,5000,sorted,int,5,0.3899,0.3856,0.4021
bucket_sort,5000,sorted,int,5,4.4984,3.1817,7.9123
comb_sort,5000,sorted,int,5,14.5147,10.2283,21.286
counting_sort,5000,sorted,int,5,17.2913,11.5944,26.1235
heap_sort,5000,sorted,int,5,27.0735,23.9875,29.0183
insertion_sort,5000,sorted,int,5,0.7428,0.6993,0.8546
intro_sort,5000,sorted,int,5,12.2546,9.8127,14.2866
merge_sort,5000,sorted,int,5,18.487,11.0559,23.751
merge_sort_iterative,5000,sorted,int,5,19.0032,14.1716,22.3877
patience_sort,5000,sorted,int,5,29.9079,23.6663,37.6397
quick_sort,5000,sorted,int,5,14.2779,9.3336,21.2473
radix_sort,5000,sorted,int,5,20.6349,14.2853,28.8433
selection_sort,5000,sorted,int,5,955.4316,897.893,1044.9448
shell_sort,5000,sorted,int,5,9.4561,5.1934,18.377
tim_sort,5000,sorted,int,5,0.0616,0.0475,0.0815
bubble_sort,5000,reverse,int,5,2693.3972,2361.5258,3130.595
bucket_sort,5000,reverse,int,5,6.1206,2.8579,8.5831
comb_sort,5000,reverse,int,5,13.7498,11.4299,17.8907
counting_sort,5000,reverse,int,5,10.0272,8.7041,13.6811
heap_sort,5000,reverse,int,5,21.2105,14.9913,37.2559
insertion_sort,5000,reverse,int,5,2289.8519,1680.5473,2698.3512
intro_sort,5000,reverse,int,5,22.5568,16.9403,31.2887
merge_sort,5000,reverse,int,5,17.4693,15.4109,19.8216
merge_sort_iterative,5000,reverse,int,5,15.8815,13.5494,17.2826
patience_sort,5000,reverse,int,5,5.5479,4.2545,6.3698
quick_sort,5000,reverse,int,5,17.7925,14.3912,21.7974
radix_sort,5000,reverse,int,5,19.7201,16.863,22.1136
selection_sort,5000,reverse,int,5,1099.3285,1036.2788,1163.5306
shell_sort,5000,reverse,int,5,16.9156,8.9204,22.0373
tim_sort,5000,reverse,int,5,0.0522,0.0443,0.0677
bubble_sort,5000,almost_sorted,int,5,1418.7848,1208.6819,1585.8655
bucket_sort,5000,almost_sorted,int,5,3.8045,2.7792,7.0551
comb_sort,5000,almost_sorted,int,5,22.8674,15.1751,31.2147
counting_sort,5000,almost_sorted,int,5,12.4799,7.8292,17.0189
heap_sort,5000,almost_sorted,int,5,30.868,18.4899,44.1932
insertion_sort,5000,almost_sorted,int,5,66.5451,39.0824,84.1492
intro_sort,5000,almost_sorted,int,5,26.8131,18.9391,30.7638
merge_sort,5000,almost_sorted,int,5,23.8442,16.1055,28.076
merge_sort_iterative,5000,almost_sorted,int,5,24.0305,20.785,29.4817
patience_sort,5000,almost_sorted,int,5,19.8911,11.1637,26.9333
quick_sort,5000,almost_sorted,int,5,18.7409,9.1847,29.3715
radix_sort,5000,almost_sorted,int,5,20.8919,15.6739,25.4982
selection_sort,5000,almost_sorted,int,5,1016.3561,780.7583,1252.7496
shell_sort,5000,almost_sorted,int,5,14.4016,12.4577,17.0884
tim_sort,5000,almost_sorted,int,5,0.2117,0.1911,0.252
bubble_sort,5000,half_sorted,int,5,2202.9528,1701.3371,2755.1482
bucket_sort,5000,half_sorted,int,5,4.4325,3.4294,5.6409
comb_sort,5000,half_sorted,int,5,22.7424,15.0602,29.3832
counting_sort,5000,half_sorted,int,5,14.3588,12.9908,16.8052
heap_sort,5000,half_sorted,int,5,33.6669,24.9111,38.161
insertion_sort,5000,half_sorted,int,5,650.2749,523.7127,781.63
intro_sort,5000,half_sorted,int,5,11.8282,5.0484,19.9672
merge_sort,5000,half_sorted,int,5,14.9823,11.415,23.7981
merge_sort_iterative,5000,half_sorted,int,5,16.5891,13.1536,22.1278
patience_sort,5000,half_sorted,int,5,11.6951,10.5397,13.4195
quick_sort,5000,half_sorted,int,5,7.4292,6.3038,11.0546
radix_sort,5000,half_sorted,int,5,8.3453,7.7298,9.3493
selection_sort,5000,half_sorted,int,5,1167.711,1106.0219,1320.4365
shell_sort,5000,half_sorted,int,5,24.5647,12.6053,38.319
tim_sort,5000,half_sorted,int,5,0.451,0.4414,0.4685
bubble_sort,5000,flat,int,5,1965.2629,1795.4521,2138.8123
bucket_sort,5000,flat,int,5,2.9129,2.4184,3.6156
comb_sort,5000,flat,int,5,9.6553,8.8736,11.5078
counting_sort,5000,flat,int,5,0.7441,0.4349,1.2251
heap_sort,5000,flat,int,5,18.6138,12.8832,23.7434
insertion_sort,5000,flat,int,5,562.853,499.0172,677.3017
intro_sort,5000,flat,int,5,15.1675,11.9262,17.1836
merge_sort,5000,flat,int,5,12.2234,10.4155,13.3636
merge_sort_iterative,5000,flat,int,5,14.216,13.716,14.9166
patience_sort,5000,flat,int,5,11.3939,9.1246,18.0436
quick_sort,5000,flat,int,5,263.905,250.2887,290.0893
radix_sort,5000,flat,int,5,1.6089,1.5001,1.8987
selection_sort,5000,flat,int,5,649.5512,623.7891,672.882
shell_sort,5000,flat,int,5,6.4788,5.3238,8.1704
tim_sort,5000,flat,int,5,0.2659,0.2496,0.3192
bucket_sort,10000,random,int,5,6.1483,5.2914,7.2836
comb_sort,10000,random,int,5,32.0412,26.5992,34.7669
counting_sort,10000,random,int,5,36.2523,20.6179,78.7821
heap_sort,10000,random,int,5,42.668,34.277,57.4965
intro_sort,10000,random,int,5,12.2491,11.0554,13.6892
merge_sort,10000,random,int,5,29.3051,24.168,31.1721
merge_sort_iterative,10000,random,int,5,36.2437,32.1039,40.7494
parallel_merge_sort,10000,random,int,5,330.5134,258.1522,482.6727
patience_sort,10000,random,int,5,16.2067,15.0984,17.6659
quick_sort,10000,random,int,5,14.0675,12.6239,17.4777
radix_sort,10000,random,int,5,16.268,15.1895,16.9159
shell_sort,10000,random,int,5,29.9648,26.8341,33.8035
tim_sort,10000,random,int,5,1.1482,1.1283,1.2108
bucket_sort,10000,sorted,int,5,6.0562,4.7005,9.8543
comb_sort,10000,sorted,int,5,17.5768,15.679,18.9096
counting_sort,10000,sorted,int,5,20.8974,17.686,26.8582
heap_sort,10000,sorted,int,5,33.1597,30.8655,35.7277
intro_sort,10000,sorted,int,5,9.0375,7.4168,10.4061
merge_sort,10000,sorted,int,5,18.7578,17.1971,21.0673
merge_sort_iterative,10000,sorted,int,5,19.9849,18.572,23.1159
parallel_merge_sort,10000,sorted,int,5,255.8603,245.1342,263.6935
patience_sort,10000,sorted,int,5,27.8722,24.3133,34.7741
quick_sort,10000,sorted,int,5,12.4655,11.0639,13.8502
radix_sort,10000,sorted,int,5,16.2517,15.8262,16.8576
shell_sort,10000,sorted,int,5,12.1605,10.6762,13.339
tim_sort,10000,sorted,int,5,0.1008,0.0821,0.1299
bucket_sort,10000,reverse,int,5,5.791,4.723,9.3694
comb_sort,10000,reverse,int,5,23.2951,21.4539,24.8857
counting_sort,10000,reverse,int,5,18.115,17.1918,18.7568
heap_sort,10000,reverse,int,5,32.5265,29.1732,35.0716
intro_sort,10000,reverse,int,5,22.0617,19.8949,25.3009
merge_sort,10000,reverse,int,5,19.4464,16.6974,20.7716
merge_sort_iterative,10000,reverse,int,5,19.8045,17.0126,22.3801
parallel_merge_sort,10000,reverse,int,5,258.8525,231.2424,276.346
patience_sort,10000,reverse,int,5,9.2065,6.2196,10.9471
quick_sort,10000,reverse,int,5,27.1971,22.7225,35.8994
radix_sort,10000,reverse,int,5,19.1647,15.0805,23.6865
shell_sort,10000,reverse,int,5,19.2553,17.0286,22.9334
tim_sort,10000,reverse,int,5,0.1456,0.0903,0.35
bucket_sort,10000,almost_sorted,int,5,5.9904,5.2432,7.1755
comb_sort,10000,almost_sorted,int,5,26.6774,23.9062,34.5043
counting_sort,10000,almost_sorted,int,5,17.0447,15.8223,18.9601
heap_sort,10000,almost_sorted,int,5,33.2859,32.1719,34.9209
intro_sort,10000,almost_sorted,int,5,19.5994,15.634,24.0939
merge_sort,10000,almost_sorted,int,5,28.0024,22.0256,34.7828
merge_sort_iterative,10000,almost_sorted,int,5,29.6701,26.4141,35.1246
parallel_merge_sort,10000,almost_sorted,int,5,263.8457,241.4073,300.2703
patience_sort,10000,almost_sorted,int,5,30.4306,26.1585,34.5968
quick_sort,10000,almost_sorted,int,5,19.341,15.9447,22.153
radix_sort,10000,almost_sorted,int,5,16.4533,15.4837,17.3825
shell_sort,10000,almost_sorted,int,5,22.0218,19.1712,24.2389
tim_sort,10000,almost_sorted,int,5,0.315,0.283,0.4109
bucket_sort,10000,half_sorted,int,5,5.6749,5.0428,6.5566
comb_sort,10000,half_sorted,int,5,29.3964,26.1734,32.9805
counting_sort,10000,half_sorted,int,5,20.4996,18.8256,21.5102
heap_sort,10000,half_sorted,int,5,50.2612,37.8552,73.4052
intro_sort,10000,half_sorted,int,5,19.1184,14.4004,27.4791
merge_sort,10000,half_sorted,int,5,24.3706,23.2526,25.9099
merge_sort_iterative,10000,half_sorted,int,5,24.5926,21.7467,28.0479
parallel_merge_sort,10000,half_sorted,int,5,261.717,240.6409,276.0942
patience_sort,10000,half_sorted,int,5,27.4674,24.138,30.8509
quick_sort,10000,half_sorted,int,5,14.8974,13.5021,16.2014
radix_sort,10000,half_sorted,int,5,14.3379,13.8223,15.2849
shell_sort,10000,half_sorted,int,5,27.9312,26.2265,29.684
tim_sort,10000,half_sorted,int,5,0.6984,0.65,0.7838
bucket_sort,10000,flat,int,5,5.4688,4.3435,6.6979
comb_sort,10000,flat,int,5,22.4348,19.8582,24.0153
counting_sort,10000,flat,int,5,0.7614,0.7361,0.8062
heap_sort,10000,flat,int,5,29.3084,25.825,36.5445
intro_sort,10000,flat,int,5,30.6796,25.9836,33.4491
merge_sort,10000,flat,int,5,28.6928,25.1181,31.304
merge_sort_iterative,10000,flat,int,5,26.5154,23.4387,29.0617
parallel_merge_sort,10000,flat,int,5,256.365,223.4772,298.5194
patience_sort,10000,flat,int,5,25.792,20.9739,34.1243
quick_sort,10000,flat,int,5,1115.2014,1055.4284,1324.7795
radix_sort,10000,flat,int,5,3.251,2.95,4.0497
shell_sort,10000,flat,int,5,16.6656,15.511,17.4158
tim_sort,10000,flat,int,5,0.595,0.5476,0.6601
bucket_sort,50000,random,int,1,41.307,41.307,41.307
comb_sort,50000,random,int,1,211.1138,211.1138,211.1138
counting_sort,50000,random,int,1,88.4877,88.4877,88.4877
heap_sort,50000,random,int,1,225.2793,225.2793,225.2793
intro_sort,50000,random,int,1,96.846,96.846,96.846
merge_sort,50000,random,int,1,186.9888,186.9888,186.9888
merge_sort_iterative,50000,random,int,1,184.077,184.077,184.077
parallel_merge_sort,50000,random,int,1,299.7637,299.7637,299.7637
patience_sort,50000,random,int,1,108.3031,108.3031,108.3031
quick_sort,50000,random,int,1,101.4441,101.4441,101.4441
radix_sort,50000,random,int,1,124.7422,124.7422,124.7422
shell_sort,50000,random,int,1,244.4399,244.4399,244.4399
tim_sort,50000,random,int,1,7.5794,7.5794,7.5794
bucket_sort,50000,sorted,int,1,34.1164,34.1164,34.1164
comb_sort,50000,sorted,int,1,150.8878,150.8878,150.8878
counting_sort,50000,sorted,int,1,101.7764,101.7764,101.7764
heap_sort,50000,sorted,int,1,264.5455,264.5455,264.5455
intro_sort,50000,sorted,int,1,68.0213,68.0213,68.0213
merge_sort,50000,sorted,int,1,129.5253,129.5253,129.5253
merge_sort_iterative,50000,sorted,int,1,142.4055,142.4055,142.4055
parallel_merge_sort,50000,sorted,int,1,308.7016,308.7016,308.7016
patience_sort,50000,sorted,int,1,199.6573,199.6573,199.6573
quick_sort,50000,sorted,int,1,84.502,84.502,84.502
radix_sort,50000,sorted,int,1,121.6234,121.6234,121.6234
shell_sort,50000,sorted,int,1,103.5204,103.5204,103.5204
tim_sort,50000,sorted,int,1,2.3496,2.3496,2.3496
bucket_sort,50000,reverse,int,1,35.9498,35.9498,35.9498
comb_sort,50000,reverse,int,1,168.6814,168.6814,168.6814
counting_sort,50000,reverse,int,1,103.117,103.117,103.117
heap_sort,50000,reverse,int,1,212.7921,212.7921,212.7921
intro_sort,50000,reverse,int,1,146.8382,146.8382,146.8382
merge_sort,50000,reverse,int,1,121.1525,121.1525,121.1525
merge_sort_iterative,50000,reverse,int,1,276.7744,276.7744,276.7744
parallel_merge_sort,50000,reverse,int,1,308.2555,308.2555,308.2555
patience_sort,50000,reverse,int,1,38.887,38.887,38.887
quick_sort,50000,reverse,int,1,142.8186,142.8186,142.8186
radix_sort,50000,reverse,int,1,121.1266,121.1266,121.1266
shell_sort,50000,reverse,int,1,143.2694,143.2694,143.2694
tim_sort,50000,reverse,int,1,0.7743,0.7743,0.7743
bucket_sort,50000,almost_sorted,int,1,44.199,44.199,44.199
comb_sort,50000,almost_sorted,int,1,242.2574,242.2574,242.2574
counting_sort,50000,almost_sorted,int,1,102.563,102.563,102.563
heap_sort,50000,almost_sorted,int,1,242.5834,242.5834,242.5834
intro_sort,50000,almost_sorted,int,1,211.9533,211.9533,211.9533
merge_sort,50000,almost_sorted,int,1,166.663,166.663,166.663
merge_sort_iterative,50000,almost_sorted,int,1,201.4654,201.4654,201.4654
parallel_merge_sort,50000,almost_sorted,int,1,295.8792,295.8792,295.8792
patience_sort,50000,almost_sorted,int,1,178.6399,178.6399,178.6399
quick_sort,50000,almost_sorted,int,1,141.2307,141.2307,141.2307
radix_sort,50000,almost_sorted,int,1,119.6925,119.6925,119.6925
shell_sort,50000,almost_sorted,int,1,185.3704,185.3704,185.3704
tim_sort,50000,almost_sorted,int,1,3.8368,3.8368,3.8368
bucket_sort,50000,half_sorted,int,1,37.5832,37.5832,37.5832
comb_sort,50000,half_sorted,int,1,215.4649,215.4649,215.4649
counting_sort,50000,half_sorted,int,1,97.2865,97.2865,97.2865
heap_sort,50000,half_sorted,int,1,220.2277,220.2277,220.2277
intro_sort,50000,half_sorted,int,1,88.8958,88.8958,88.8958
merge_sort,50000,half_sorted,int,1,152.5115,152.5115,152.5115
merge_sort_iterative,50000,half_sorted,int,1,185.9899,185.9899,185.9899
parallel_merge_sort,50000,half_sorted,int,1,361.5153,361.5153,361.5153
patience_sort,50000,half_sorted,int,1,195.5688,195.5688,195.5688
quick_sort,50000,half_sorted,int,1,119.0105,119.0105,119.0105
radix_sort,50000,half_sorted,int,1,119.068,119.068,119.068
shell_sort,50000,half_sorted,int,1,262.0448,262.0448,262.0448
tim_sort,50000,half_sorted,int,1,5.1995,5.1995,5.1995
bucket_sort,50000,flat,int,1,27.9865,27.9865,27.9865
comb_sort,50000,flat,int,1,126.3145,126.3145,126.3145
counting_sort,50000,flat,int,1,5.1449,5.1449,5.1449
heap_sort,50000,flat,int,1,169.0263,169.0263,169.0263
intro_sort,50000,flat,int,1,169.7296,169.7296,169.7296
merge_sort,50000,flat,int,1,150.9064,150.9064,150.9064
merge_sort_iterative,50000,flat,int,1,182.4008,182.4008,182.4008
parallel_merge_sort,50000,flat,int,1,294.714,294.714,294.714
patience_sort,50000,flat,int,1,152.4748,152.4748,152.4748
radix_sort,50000,flat,int,1,21.959,21.959,21.959
shell_sort,50000,flat,int,1,83.0558,83.0558,83.0558
tim_sort,50000,flat,int,1,2.7761,2.7761,2.7761
bucket_sort,100000,random,int,1,77.5035,77.5035,77.5035
comb_sort,100000,random,int,1,491.6189,491.6189,491.6189
counting_sort,100000,random,int,1,196.3906,196.3906,196.3906
heap_sort,100000,random,int,1,548.4055,548.4055,548.4055
intro_sort,100000,random,int,1,185.8189,185.8189,185.8189
merge_sort,100000,random,int,1,371.0267,371.0267,371.0267
merge_sort_iterative,100000,random,int,1,427.4255,427.4255,427.4255
parallel_merge_sort,100000,random,int,1,338.9832,338.9832,338.9832
patience_sort,100000,random,int,1,233.6446,233.6446,233.6446
radix_sort,100000,random,int,1,264.9089,264.9089,264.9089
shell_sort,100000,random,int,1,636.1351,636.1351,636.1351
tim_sort,100000,random,int,1,18.0099,18.0099,18.0099
bucket_sort,100000,sorted,int,1,64.5267,64.5267,64.5267
comb_sort,100000,sorted,int,1,379.0746,379.0746,379.0746
counting_sort,100000,sorted,int,1,202.7919,202.7919,202.7919
heap_sort,100000,sorted,int,1,522.7362,522.7362,522.7362
intro_sort,100000,sorted,int,1,151.7622,151.7622,151.7622
merge_sort,100000,sorted,int,1,272.3897,272.3897,272.3897
merge_sort_iterative,100000,sorted,int,1,278.306,278.306,278.306
parallel_merge_sort,100000,sorted,int,1,328.4485,328.4485,328.4485
patience_sort,100000,sorted,int,1,420.7035,420.7035,420.7035
radix_sort,100000,sorted,int,1,286.7999,286.7999,286.7999
shell_sort,100000,sorted,int,1,196.6746,196.6746,196.6746
tim_sort,100000,sorted,int,1,1.5656,1.5656,1.5656
bucket_sort,100000,reverse,int,1,86.0707,86.0707,86.0707
comb_sort,100000,reverse,int,1,371.1612,371.1612,371.1612
counting_sort,100000,reverse,int,1,186.7221,186.7221,186.7221
heap_sort,100000,reverse,int,1,504.0569,504.0569,504.0569
intro_sort,100000,reverse,int,1,342.7082,342.7082,342.7082
merge_sort,100000,reverse,int,1,251.5879,251.5879,251.5879
merge_sort_iterative,100000,reverse,int,1,267.8562,267.8562,267.8562
parallel_merge_sort,100000,reverse,int,1,342.6435,342.6435,342.6435
patience_sort,100000,reverse,int,1,77.5056,77.5056,77.5056
radix_sort,100000,reverse,int,1,265.9239,265.9239,265.9239
shell_sort,100000,reverse,int,1,318.6832,318.6832,318.6832
tim_sort,100000,reverse,int,1,1.6095,1.6095,1.6095
bucket_sort,100000,almost_sorted,int,1,73.2406,73.2406,73.2406
comb_sort,100000,almost_sorted,int,1,400.7083,400.7083,400.7083
counting_sort,100000,almost_sorted,int,1,184.9939,184.9939,184.9939
heap_sort,100000,almost_sorted,int,1,524.0664,524.0664,524.0664
intro_sort,100000,almost_sorted,int,1,307.2484,307.2484,307.2484
merge_sort,100000,almost_sorted,int,1,350.7981,350.7981,350.7981
merge_sort_iterative,100000,almost_sorted,int,1,373.0125,373.0125,373.0125
parallel_merge_sort,100000,almost_sorted,int,1,335.61,335.61,335.61
patience_sort,100000,almost_sorted,int,1,366.5386,366.5386,366.5386
radix_sort,100000,almost_sorted,int,1,275.3882,275.3882,275.3882
shell_sort,100000,almost_sorted,int,1,419.0734,419.0734,419.0734
tim_sort,100000,almost_sorted,int,1,6.7407,6.7407,6.7407
bucket_sort,100000,half_sorted,int,1,78.9712,78.9712,78.9712
comb_sort,100000,half_sorted,int,1,621.1024,621.1024,621.1024
counting_sort,100000,half_sorted,int,1,192.3441,192.3441,192.3441
heap_sort,100000,half_sorted,int,1,542.8639,542.8639,542.8639
intro_sort,100000,half_sorted,int,1,208.9634,208.9634,208.9634
merge_sort,100000,half_sorted,int,1,333.6786,333.6786,333.6786
merge_sort_iterative,100000,half_sorted,int,1,364.665,364.665,364.665
parallel_merge_sort,100000,half_sorted,int,1,352.1401,352.1401,352.1401
patience_sort,100000,half_sorted,int,1,399.0239,399.0239,399.0239
radix_sort,100000,half_sorted,int,1,258.8249,258.8249,258.8249
shell_sort,100000,half_sorted,int,1,583.7775,583.7775,583.7775
tim_sort,100000,half_sorted,int,1,21.7295,21.7295,21.7295
bucket_sort,100000,flat,int,1,52.2302,52.2302,52.2302
comb_sort,100000,flat,int,1,295.8133,295.8133,295.8133
counting_sort,100000,flat,int,1,10.128,10.128,10.128
heap_sort,100000,flat,int,1,382.229,382.229,382.229
intro_sort,100000,flat,int,1,432.7065,432.7065,432.7065
merge_sort,100000,flat,int,1,356.7541,356.7541,356.7541
merge_sort_iterative,100000,flat,int,1,324.8002,324.8002,324.8002
parallel_merge_sort,100000,flat,int,1,336.0025,336.0025,336.0025
patience_sort,100000,flat,int,1,290.6408,290.6408,290.6408
radix_sort,100000,flat,int,1,38.1536,38.1536,38.1536
shell_sort,100000,flat,int,1,186.0296,186.0296,186.0296
tim_sort,100000,flat,int,1,5.9127,5.9127,5.9127
bucket_sort,500000,random,int,1,535.0623,535.0623,535.0623
comb_sort,500000,random,int,1,4470.7948,4470.7948,4470.7948
counting_sort,500000,random,int,1,1008.0321,1008.0321,1008.0321
heap_sort,500000,random,int,1,3780.1096,3780.1096,3780.1096
intro_sort,500000,random,int,1,1258.2117,1258.2117,1258.2117
merge_sort,500000,random,int,1,2309.872,2309.872,2309.872
merge_sort_iterative,500000,random,int,1,2530.9572,2530.9572,2530.9572
parallel_merge_sort,500000,random,int,1,635.6494,635.6494,635.6494
patience_sort,500000,random,int,1,1299.5552,1299.5552,1299.5552
radix_sort,500000,random,int,1,2121.9023,2121.9023,2121.9023
shell_sort,500000,random,int,1,4297.1715,4297.1715,4297.1715
tim_sort,500000,random,int,1,130.825,130.825,130.825
bucket_sort,500000,sorted,int,1,562.3402,562.3402,562.3402
comb_sort,500000,sorted,int,1,4017.8972,4017.8972,4017.8972
counting_sort,500000,sorted,int,1,1050.7703,1050.7703,1050.7703
heap_sort,500000,sorted,int,1,3029.5119,3029.5119,3029.5119
intro_sort,500000,sorted,int,1,1086.2971,1086.2971,1086.2971
merge_sort,500000,sorted,int,1,1703.9047,1703.9047,1703.9047
merge_sort_iterative,500000,sorted,int,1,2010.5779,2010.5779,2010.5779
parallel_merge_sort,500000,sorted,int,1,581.8326,581.8326,581.8326
patience_sort,500000,sorted,int,1,2418.2627,2418.2627,2418.2627
radix_sort,500000,sorted,int,1,2319.8677,2319.8677,2319.8677
shell_sort,500000,sorted,int,1,2318.2981,2318.2981,2318.2981
tim_sort,500000,sorted,int,1,36.096,36.096,36.096
bucket_sort,500000,reverse,int,1,456.9925,456.9925,456.9925
comb_sort,500000,reverse,int,1,4061.618,4061.618,4061.618
counting_sort,500000,reverse,int,1,1019.6658,1019.6658,1019.6658
heap_sort,500000,reverse,int,1,2807.1696,2807.1696,2807.1696
intro_sort,500000,reverse,int,1,2490.418,2490.418,2490.418
merge_sort,500000,reverse,int,1,1617.7788,1617.7788,1617.7788
merge_sort_iterative,500000,reverse,int,1,1881.7769,1881.7769,1881.7769
parallel_merge_sort,500000,reverse,int,1,559.3511,559.3511,559.3511
patience_sort,500000,reverse,int,1,423.7525,423.7525,423.7525
radix_sort,500000,reverse,int,1,2467.2886,2467.2886,2467.2886
shell_sort,500000,reverse,int,1,2907.0297,2907.0297,2907.0297
tim_sort,500000,reverse,int,1,39.4135,39.4135,39.4135
bucket_sort,500000,almost_sorted,int,1,476.4126,476.4126,476.4126
comb_sort,500000,almost_sorted,int,1,4573.9532,4573.9532,4573.9532
counting_sort,500000,almost_sorted,int,1,1004.264,1004.264,1004.264
heap_sort,500000,almost_sorted,int,1,3184.825,3184.825,3184.825
intro_sort,500000,almost_sorted,int,1,2967.9119,2967.9119,2967.9119
merge_sort,500000,almost_sorted,int,1,2459.0343,2459.0343,2459.0343
merge_sort_iterative,500000,almost_sorted,int,1,2702.1504,2702.1504,2702.1504
parallel_merge_sort,500000,almost_sorted,int,1,654.109,654.109,654.109
patience_sort,500000,almost_sorted,int,1,2713.1537,2713.1537,2713.1537
radix_sort,500000,almost_sorted,int,1,2319.4006,2319.4006,2319.4006
shell_sort,500000,almost_sorted,int,1,3277.8323,3277.8323,3277.8323
tim_sort,500000,almost_sorted,int,1,68.0934,68.0934,68.0934
bucket_sort,500000,half_sorted,int,1,477.3166,477.3166,477.3166
comb_sort,500000,half_sorted,int,1,4820.6156,4820.6156,4820.6156
counting_sort,500000,half_sorted,int,1,1015.5495,1015.5495,1015.5495
heap_sort,500000,half_sorted,int,1,3478.1617,3478.1617,3478.1617
intro_sort,500000,half_sorted,int,1,1396.5572,1396.5572,1396.5572
merge_sort,500000,half_sorted,int,1,2052.5797,2052.5797,2052.5797
merge_sort_iterative,500000,half_sorted,int,1,2181.3529,2181.3529,2181.3529
parallel_merge_sort,500000,half_sorted,int,1,585.0265,585.0265,585.0265
patience_sort,500000,half_sorted,int,1,2713.5944,2713.5944,2713.5944
radix_sort,500000,half_sorted,int,1,2192.3798,2192.3798,2192.3798
shell_sort,500000,half_sorted,int,1,4403.8376,4403.8376,4403.8376
tim_sort,500000,half_sorted,int,1,83.4331,83.4331,83.4331
bucket_sort,500000,flat,int,1,252.7566,252.7566,252.7566
comb_sort,500000,flat,int,1,1691.5182,1691.5182,1691.5182
counting_sort,500000,flat,int,1,54.2422,54.2422,54.2422
heap_sort,500000,flat,int,1,2245.7996,2245.7996,2245.7996
intro_sort,500000,flat,int,1,2238.9589,2238.9589,2238.9589
merge_sort,500000,flat,int,1,1944.8003,1944.8003,1944.8003
merge_sort_iterative,500000,flat,int,1,2285.7482,2285.7482,2285.7482
parallel_merge_sort,500000,flat,int,1,514.1399,514.1399,514.1399
patience_sort,500000,flat,int,1,1827.0454,1827.0454,1827.0454
radix_sort,500000,flat,int,1,187.5321,187.5321,187.5321
shell_sort,500000,flat,int,1,1013.4085,1013.4085,1013.4085
tim_sort,500000,flat,int,1,34.4006,34.4006,34.4006
bucket_sort,1000000,random,int,1,1105.0483,1105.0483,1105.0483
counting_sort,1000000,random,int,1,2652.9434,2652.9434,2652.9434
intro_sort,1000000,random,int,1,2908.4321,2908.4321,2908.4321
merge_sort,1000000,random,int,1,4885.9,4885.9,4885.9
parallel_merge_sort,1000000,random,int,1,892.006,892.006,892.006
patience_sort,1000000,random,int,1,2679.2065,2679.2065,2679.2065
radix_sort,1000000,random,int,1,4514.754,4514.754,4514.754
tim_sort,1000000,random,int,1,304.2744,304.2744,304.2744
bucket_sort,1000000,sorted,int,1,931.0767,931.0767,931.0767
counting_sort,1000000,sorted,int,1,2089.0979,2089.0979,2089.0979
intro_sort,1000000,sorted,int,1,2183.2601,2183.2601,2183.2601
merge_sort,1000000,sorted,int,1,3593.837,3593.837,3593.837
parallel_merge_sort,1000000,sorted,int,1,848.972,848.972,848.972
tim_sort,1000000,sorted,int,1,85.64,85.64,85.64
bucket_sort,1000000,reverse,int,1,957.4044,957.4044,957.4044
counting_sort,1000000,reverse,int,1,2162.8428,2162.8428,2162.8428
merge_sort,1000000,reverse,int,1,3497.5458,3497.5458,3497.5458
parallel_merge_sort,1000000,reverse,int,1,821.6067,821.6067,821.6067
tim_sort,1000000,reverse,int,1,85.6114,85.6114,85.6114
